,基本形,品詞,スコア
27436,cayuga,名詞,0.00621691
27437,mohawk,名詞,0.00621688
27438,fore-topmast,名詞,0.0062104
27439,loaded,形容詞,0.00620895
27440,bird-on-the-wing,名詞,0.00620732
27441,gaywings,名詞,0.00620729
27442,sextette,名詞,0.00620313
27443,cardinal,形容詞,0.0062009
27444,intangibleness,名詞,0.00620087
27445,intangibility,名詞,0.00620087
27446,impalpability,名詞,0.00620087
27447,alee,副詞,0.00619587
27448,gasterosteidae,名詞,0.00619517
27449,poilu,名詞,0.00619488
27450,purloo,名詞,0.00619487
27451,ethnology,名詞,0.0061932
27452,avocado,名詞,0.00619245
27453,onondaga,名詞,0.00619184
27454,gossamer,名詞,0.00618852
27455,marshmallow,名詞,0.00618792
27456,ray,動詞,0.00618686
27457,elflike,形容詞,0.00618585
27458,resounding,形容詞,0.00618583
27459,voyage,名詞,0.0061842
27460,dominicus,名詞,0.00618214
27461,enterostomy,名詞,0.00618209
27462,enterotomy,名詞,0.00618208
27463,intumesce,動詞,0.00618145
27464,oneiric,形容詞,0.00618064
27465,drms,名詞,0.00617999
27466,headlike,形容詞,0.00617969
27467,metheglin,名詞,0.0061793
27468,octette,名詞,0.00617728
27469,confutative,形容詞,0.00617492
27470,confutable,形容詞,0.00617492
27471,precess,動詞,0.00617168
27472,eu,名詞,0.00617111
27473,eckhart,名詞,0.00616945
27474,tickler,名詞,0.00616708
27475,foreword,名詞,0.00616665
27476,telecommerce,名詞,0.0061653
27477,sagittarius,名詞,0.00616422
27478,ideation,名詞,0.00616338
27479,draper,名詞,0.00616253
27480,lucre,名詞,0.00616008
27481,grouse,名詞,0.00615982
27482,ideologue,名詞,0.00615953
27483,ideologist,名詞,0.00615953
27484,onymous,形容詞,0.00615889
27485,flitter,動詞,0.00615556
27486,agora,名詞,0.00615484
27487,sext,名詞,0.00615463
27488,dapsone,名詞,0.00615362
27489,girru,名詞,0.00614942
27490,mutawa,名詞,0.00614853
27491,mutawa'een,名詞,0.00614853
27492,anthriscus,名詞,0.00614413
27493,counterfactual,形容詞,0.00614122
27494,acoustician,名詞,0.00613931
27495,adp,名詞,0.00613712
27496,diflunisal,名詞,0.00613639
27497,dolobid,名詞,0.00613638
27498,real-time,形容詞,0.00613575
27499,pluralistic,形容詞,0.0061355
27500,blastula,名詞,0.00613233
27501,rhododendron,名詞,0.00613165
27502,betatron,名詞,0.00613119
27503,white-collar,形容詞,0.00613088
27504,rossini,名詞,0.00612866
27505,pontificate,名詞,0.00612851
27506,siberia,名詞,0.00612835
27507,basify,動詞,0.00612829
27508,alkalize,動詞,0.00612829
27509,alkalise,動詞,0.00612829
27510,alkalify,動詞,0.00612829
27511,prestissimo,形容詞,0.00612582
27512,poesy,名詞,0.00612507
27513,lettering,名詞,0.00612461
27514,herding,形容詞,0.00612277
27515,tenant,名詞,0.00612205
27516,undiversified,形容詞,0.00612116
27517,sole,名詞,0.00611994
27518,bejewelled,形容詞,0.00611913
27519,bejeweled,形容詞,0.00611913
27520,bespangled,形容詞,0.00611912
27521,gemmed,形容詞,0.00611911
27522,spangled,形容詞,0.0061191
27523,sequined,形容詞,0.0061191
27524,jewelled,形容詞,0.0061191
27525,jeweled,形容詞,0.0061191
27526,alidad,名詞,0.0061191
27527,spangly,形容詞,0.00611909
27528,alidade,名詞,0.00611909
27529,caroller,名詞,0.00611767
27530,caroler,名詞,0.00611767
27531,hypothesize,動詞,0.00611752
27532,poinciana,名詞,0.00611708
27533,ne,名詞,0.00611645
27534,wordbook,名詞,0.00611622
27535,abc's,名詞,0.0061162
27536,piperazine,名詞,0.00611569
27537,chelicera,名詞,0.00611442
27538,symbolizer,名詞,0.00611007
27539,symboliser,名詞,0.00611007
27540,federated,形容詞,0.00610983
27541,federate,形容詞,0.00610983
27542,gurgle,名詞,0.00610951
27543,lambrequin,名詞,0.00610826
27544,zionist,形容詞,0.00610574
27545,seward,名詞,0.00610484
27546,colloidal,形容詞,0.00610433
27547,husbandman,名詞,0.00610416
27548,granger,名詞,0.00610416
27549,sodbuster,名詞,0.00610414
27550,plato,名詞,0.00610116
27551,molecule,名詞,0.00609692
27552,ymir,名詞,0.00609633
27553,eternity,名詞,0.00609479
27554,mentally,副詞,0.00609332
27555,cubism,名詞,0.00609172
27556,buckwheat,名詞,0.00609074
27557,mineralogy,名詞,0.00609061
27558,chrome,動詞,0.00609038
27559,sss,名詞,0.00608987
27560,businessman,名詞,0.0060887
27561,lolita,名詞,0.00608815
27562,phrenology,名詞,0.00608765
27563,boy,名詞,0.00608733
27564,wichita,名詞,0.00608505
27565,digitoxin,名詞,0.00608387
27566,recoding,名詞,0.00608356
27567,permanganate,名詞,0.00608322
27568,laurentius,名詞,0.00608281
27569,peripatetic,形容詞,0.00608251
27570,oxyphenbutazone,名詞,0.00608005
27571,tandearil,名詞,0.00608004
27572,send-off,名詞,0.00607998
27573,quintet,名詞,0.00607935
27574,croupe,名詞,0.00607794
27575,phalarope,名詞,0.00607671
27576,nordic,形容詞,0.00607521
27577,polymerase,名詞,0.00607446
27578,snuff,名詞,0.00607395
27579,plumate,形容詞,0.00607366
27580,plumose,形容詞,0.00607365
27581,ribavirin,名詞,0.00607131
27582,virazole,名詞,0.0060713
27583,salat,名詞,0.00607118
27584,salah,名詞,0.00607118
27585,salaat,名詞,0.00607118
27586,salaah,名詞,0.00607118
27587,pulsing,名詞,0.00607091
27588,plastic,形容詞,0.00607087
27589,mandatary,名詞,0.00607078
27590,conventionalise,動詞,0.00606846
27591,squared-toe,形容詞,0.0060677
27592,assigned,形容詞,0.00606744
27593,holistic,形容詞,0.00606679
27594,redetermination,名詞,0.00606666
27595,separative,形容詞,0.00606647
27596,turcoman,名詞,0.00606493
27597,turkoman,名詞,0.00606492
27598,vineyard,名詞,0.00606276
27599,helsinki,名詞,0.00606083
27600,helsingfors,名詞,0.00606083
27601,austerity,名詞,0.00606078
27602,socioeconomic,形容詞,0.00605996
27603,beta-adrenoceptor,名詞,0.00605911
27604,alpha-adrenoceptor,名詞,0.00605911
27605,shofar,名詞,0.00605664
27606,shophar,名詞,0.00605663
27607,jensen,名詞,0.0060565
27608,bottom-up,形容詞,0.00605633
27609,lully,名詞,0.00605415
27610,pitocin,名詞,0.00605363
27611,oxytocin,名詞,0.00605363
27612,butternut,名詞,0.00605311
27613,cross-refer,動詞,0.0060525
27614,sandwich,動詞,0.00605152
27615,solidago,名詞,0.00605144
27616,dmus,名詞,0.0060509
27617,musd,名詞,0.00605088
27618,vac,名詞,0.00604995
27619,hatbox,名詞,0.00604995
27620,sway,動詞,0.00604973
27621,bugloss,名詞,0.00604204
27622,journeyman,名詞,0.0060415
27623,repossession,名詞,0.0060404
27624,reread,動詞,0.00603621
27625,bouillabaisse,名詞,0.00603531
27626,tidily,副詞,0.00603526
27627,gismo,名詞,0.00603414
27628,gizmo,名詞,0.00603413
27629,ouija,名詞,0.0060341
27630,co-educate,動詞,0.00603401
27631,coeducate,動詞,0.006034
27632,pall-mall,名詞,0.0060338
27633,escritoire,名詞,0.00603099
27634,secretaire,名詞,0.00603098
27635,things,名詞,0.00602948
27636,gill,名詞,0.00602922
27637,diver,名詞,0.00602809
27638,snuff,動詞,0.00602396
27639,phonemics,名詞,0.00602337
27640,bioassay,名詞,0.00602336
27641,sellotape,動詞,0.00602242
27642,excusably,副詞,0.00602223
27643,pardonably,副詞,0.00602222
27644,forgivably,副詞,0.00602222
27645,midafternoon,名詞,0.00602167
27646,jackstraw,名詞,0.00601931
27647,spillikin,名詞,0.0060193
27648,tailoring,名詞,0.00601706
27649,comanche,名詞,0.00601671
27650,massage,動詞,0.00601627
27651,mst,名詞,0.00601591
27652,fricandeau,名詞,0.00601561
27653,vulgate,名詞,0.00601557
27654,evidence,動詞,0.00601477
27655,muir,名詞,0.00601421
27656,changeability,名詞,0.00601396
27657,sand,名詞,0.00601288
27658,carrier,名詞,0.00600954
27659,methodist,形容詞,0.0060052
27660,wesleyan,形容詞,0.00600519
27661,derivation,名詞,0.00600455
27662,brazilian,名詞,0.0060037
27663,iowa,名詞,0.00600272
27664,sedation,名詞,0.00600148
27665,shrilling,形容詞,0.00600094
27666,letterman,名詞,0.00600064
27667,vitrify,動詞,0.00599909
27668,fumigation,名詞,0.00599789
27669,syncope,名詞,0.00599786
27670,drizzly,形容詞,0.00599606
27671,topdress,動詞,0.00599605
27672,phytotherapy,名詞,0.00599385
27673,revet,動詞,0.00599372
27674,bluepoint,名詞,0.00599342
27675,waikiki,名詞,0.00599328
27676,show-off,名詞,0.00599324
27677,majority,名詞,0.00599185
27678,sinkable,形容詞,0.0059903
27679,cladogram,名詞,0.00598954
27680,aluminous,形容詞,0.00598458
27681,gleditsia,名詞,0.00598448
27682,proration,名詞,0.00598225
27683,apollinaire,名詞,0.0059813
27684,gearbox,名詞,0.00597881
27685,potently,副詞,0.0059779
27686,instant,名詞,0.00597716
27687,allegro,形容詞,0.00597697
27688,unshoed,形容詞,0.0059752
27689,similitude,名詞,0.00597457
27690,fueling,名詞,0.00597272
27691,refueling,名詞,0.00597271
27692,annotator,名詞,0.00597266
27693,spreading,名詞,0.00597219
27694,acculturate,動詞,0.00597119
27695,geosynchronous,形容詞,0.00597024
27696,kitbag,名詞,0.00596924
27697,fusible,形容詞,0.00596885
27698,diplomatically,副詞,0.00596494
27699,cyst,名詞,0.00596453
27700,pronounced,形容詞,0.00596246
27701,smugness,名詞,0.0059602
27702,laban,名詞,0.00595912
27703,theorize,動詞,0.00595824
27704,argentiferous,形容詞,0.00595567
27705,overcoat,名詞,0.00595507
27706,glutinosity,名詞,0.00595289
27707,gelatinousness,名詞,0.00595289
27708,glutinousness,名詞,0.00595288
27709,calcium,名詞,0.00595249
27710,coordinative,形容詞,0.00595224
27711,coordinating,形容詞,0.00595224
27712,archives,名詞,0.0059521
27713,nro,名詞,0.00595187
27714,eiderdown,名詞,0.00595178
27715,tailor-made,形容詞,0.00595062
27716,bespoke,形容詞,0.00595062
27717,sondheim,名詞,0.00594609
27718,hydromancy,名詞,0.00594262
27719,gilbert,名詞,0.00594256
27720,methodist,名詞,0.0059421
27721,semiskilled,形容詞,0.00594163
27722,opus,名詞,0.00594029
27723,purana,名詞,0.00593912
27724,agelong,形容詞,0.00593816
27725,disinter,動詞,0.0059375
27726,exhume,動詞,0.00593749
27727,ocimum,名詞,0.00593638
27728,lanugo,名詞,0.005936
27729,custom-built,形容詞,0.00593287
27730,contrapuntist,名詞,0.00593216
27731,hairless,形容詞,0.00592997
27732,crow-bait,名詞,0.00592952
27733,crowbait,名詞,0.00592951
27734,geomancy,名詞,0.00592789
27735,isobar,名詞,0.00592684
27736,leo,名詞,0.00592311
27737,temporality,名詞,0.00592271
27738,cosignatory,名詞,0.00592185
27739,voltage,名詞,0.00592095
27740,closure,動詞,0.00591939
27741,cloture,動詞,0.00591938
27742,unromantically,副詞,0.00591927
27743,typification,名詞,0.00591845
27744,ballerina,名詞,0.00591833
27745,sandarac,名詞,0.0059178
27746,admass,名詞,0.005917
27747,vacuole,名詞,0.00591669
27748,anastomotic,形容詞,0.00591657
27749,bmus,名詞,0.00591578
27750,dubbing,名詞,0.00591398
27751,maneuverer,名詞,0.00591241
27752,proportional,名詞,0.00591181
27753,teleology,名詞,0.00591163
27754,conjecture,動詞,0.00590784
27755,hypothesise,動詞,0.00590781
27756,theorise,動詞,0.0059078
27757,cornish,名詞,0.00590666
27758,graham,名詞,0.00590649
27759,expectorator,名詞,0.0059064
27760,suasion,名詞,0.00590183
27761,intracranial,形容詞,0.00590043
27762,rabbet,動詞,0.00589874
27763,pegged-down,形容詞,0.0058985
27764,juvenility,名詞,0.00589811
27765,calefacient,形容詞,0.00589808
27766,reseed,動詞,0.00589539
27767,census,名詞,0.00589421
27768,continuum,名詞,0.00589379
27769,embodied,形容詞,0.00589176
27770,propagation,名詞,0.00589088
27771,femoris,名詞,0.00588863
27772,thighbone,名詞,0.00588858
27773,sunday,名詞,0.00588538
27774,encompassment,名詞,0.00587602
27775,federalism,名詞,0.00587462
27776,clot,名詞,0.00587255
27777,fanwort,名詞,0.00587245
27778,isotope,名詞,0.00587191
27779,convexo-concave,形容詞,0.00586953
27780,eulogist,名詞,0.00586846
27781,panegyrist,名詞,0.00586844
27782,agelessness,名詞,0.00586831
27783,posthole,名詞,0.00586818
27784,centralist,形容詞,0.00586804
27785,centralistic,形容詞,0.00586803
27786,medicament,名詞,0.00586549
27787,open-chain,形容詞,0.00586401
27788,mohammed,名詞,0.00586375
27789,mahound,名詞,0.00586375
27790,mahomet,名詞,0.00586375
27791,engagement,名詞,0.00586313
27792,kinda,副詞,0.0058617
27793,solfeggio,名詞,0.00586131
27794,solfege,名詞,0.00586131
27795,pole,名詞,0.0058608
27796,metamorphism,名詞,0.00585882
27797,quadric,名詞,0.00585756
27798,fascinatingly,副詞,0.00585724
27799,hegel,名詞,0.00585637
27800,eucharistic,形容詞,0.00585556
27801,developmental,形容詞,0.00585416
27802,lantern-fly,名詞,0.00584978
27803,winkle,名詞,0.00584956
27804,lowell,名詞,0.00584938
27805,garret,名詞,0.00584865
27806,cycling,名詞,0.00584783
27807,geophilidae,名詞,0.0058478
27808,summarization,名詞,0.00584675
27809,summarisation,名詞,0.00584675
27810,sperm,名詞,0.00584627
27811,yhwh,名詞,0.00584503
27812,yhvh,名詞,0.00584502
27813,yahweh,名詞,0.00584502
27814,yahwe,名詞,0.00584502
27815,yahveh,名詞,0.00584502
27816,yahve,名詞,0.00584501
27817,wahvey,名詞,0.00584501
27818,jhvh,名詞,0.00584501
27819,jahweh,名詞,0.005845
27820,jahvey,名詞,0.005845
27821,priest,名詞,0.00584468
27822,voyeuristical,形容詞,0.00584456
27823,voyeuristic,形容詞,0.00584456
27824,theory-based,形容詞,0.00584449
27825,phallic,形容詞,0.00584442
27826,vaned,形容詞,0.00584377
27827,hellenistical,形容詞,0.00584213
27828,hellenistic,形容詞,0.00584213
27829,palmlike,形容詞,0.00584152
27830,construct,動詞,0.00584013
27831,nonindulgence,名詞,0.0058401
27832,transport,名詞,0.00583975
27833,cardoon,名詞,0.00583971
27834,oxford,名詞,0.00583919
27835,frau,名詞,0.00583571
27836,brawny,形容詞,0.00583391
27837,casebook,名詞,0.00583236
27838,accrual,名詞,0.00583026
27839,accruement,名詞,0.00583024
27840,crane,動詞,0.0058299
27841,melt,動詞,0.00582958
27842,ruptiliocarpon,名詞,0.00582794
27843,itemisation,名詞,0.00582779
27844,itemization,名詞,0.00582778
27845,soda,名詞,0.00582353
27846,rester,名詞,0.00582335
27847,northerner,名詞,0.00582142
27848,right-down,副詞,0.00581913
27849,fibrinogen,名詞,0.00581654
27850,aper,名詞,0.00581476
27851,copycat,名詞,0.00581474
27852,emulator,名詞,0.00581473
27853,racquet,名詞,0.00581415
27854,transmittal,名詞,0.00581378
27855,transmitting,名詞,0.00581377
27856,nightlong,形容詞,0.00581227
27857,rockabilly,名詞,0.00581069
27858,metalware,名詞,0.00581009
27859,intercalary,形容詞,0.00581
27860,catholicos,名詞,0.00580909
27861,diphenylhydantoin,名詞,0.00580836
27862,dilantin,名詞,0.00580836
27863,phenytoin,名詞,0.00580833
27864,quartette,名詞,0.0058083
27865,cadaster,名詞,0.00580615
27866,cadastre,名詞,0.00580614
27867,catechism,名詞,0.00580069
27868,allegretto,副詞,0.00579926
27869,level,名詞,0.00579911
27870,purkinje,名詞,0.00579869
27871,crawford,名詞,0.00579835
27872,retrofit,名詞,0.00579784
27873,overhand,形容詞,0.00579588
27874,cirrus,名詞,0.00579302
27875,watt-hour,名詞,0.00579284
27876,gemini,名詞,0.00579254
27877,lipchitz,名詞,0.00579206
27878,interminably,副詞,0.00579206
27879,taurus,名詞,0.00579128
27880,akee,名詞,0.00579066
27881,taxpayer,名詞,0.0057904
27882,tarsus,名詞,0.00578939
27883,compositional,形容詞,0.00578651
27884,meronymy,名詞,0.00578628
27885,shawnee,名詞,0.0057862
27886,honeybee,名詞,0.00578545
27887,enkephalin,名詞,0.00578511
27888,geophilomorpha,名詞,0.00578396
27889,symbolizing,名詞,0.00578234
27890,symbolising,名詞,0.00578234
27891,bed-wetting,名詞,0.00578192
27892,iguanodon,名詞,0.00577913
27893,kneel,名詞,0.00577681
27894,kneeling,名詞,0.0057768
27895,anarthria,名詞,0.00577365
27896,trig,名詞,0.00577358
27897,phthisis,名詞,0.00577122
27898,pathan,名詞,0.00577057
27899,rickrack,名詞,0.00577042
27900,ricrac,名詞,0.00577041
27901,leary,名詞,0.00577032
27902,transactions,名詞,0.00576706
27903,sabbath,名詞,0.0057656
27904,quaff,名詞,0.00576467
27905,envoi,名詞,0.00576281
27906,clean-limbed,形容詞,0.00576111
27907,leavened,形容詞,0.00576048
27908,declarable,形容詞,0.00575677
27909,methapyrilene,名詞,0.00575659
27910,untrimmed,形容詞,0.00575339
27911,keteleeria,名詞,0.00575334
27912,lampyridae,名詞,0.00575302
27913,ritually,副詞,0.00574995
27914,cabaret,名詞,0.00574865
27915,papers,名詞,0.00574849
27916,parenthetically,副詞,0.00574798
27917,decapod,名詞,0.00574778
27918,pectic,形容詞,0.00574748
27919,allogamous,形容詞,0.00574376
27920,second,名詞,0.00574294
27921,shamanise,動詞,0.00574138
27922,shamanize,動詞,0.00574137
27923,weld,名詞,0.00574074
27924,brolly,名詞,0.00573965
27925,gamp,名詞,0.00573962
27926,brake,動詞,0.00573502
27927,nasality,名詞,0.00573415
27928,finitude,名詞,0.00573387
27929,finiteness,名詞,0.00573387
27930,boundedness,名詞,0.00573387
27931,cumulative,形容詞,0.00573194
27932,maleness,名詞,0.00573134
27933,spinoza,名詞,0.00572976
27934,sulamyd,名詞,0.00572949
27935,sulfacetamide,名詞,0.00572948
27936,napoleon,名詞,0.00572914
27937,fluidram,名詞,0.00572587
27938,loathsomeness,名詞,0.00572479
27939,repulsiveness,名詞,0.00572477
27940,toed,形容詞,0.00572211
27941,albion,名詞,0.00572174
27942,enjambement,名詞,0.00572147
27943,enjambment,名詞,0.00572146
27944,courthouse,名詞,0.00571896
27945,remould,動詞,0.00571787
27946,macaw,名詞,0.00571682
27947,mckim,名詞,0.00571643
27948,kibbutz,名詞,0.00571568
27949,scholiast,名詞,0.00571363
27950,honey-flower,名詞,0.00571339
27951,honeyflower,名詞,0.00571337
27952,buttressed,形容詞,0.00571009
27953,pic,名詞,0.00570974
27954,cottontail,名詞,0.00570972
27955,avianise,動詞,0.00570739
27956,avianize,動詞,0.00570738
27957,teal,名詞,0.00570685
27958,jericho,名詞,0.00570677
27959,lowbrow,名詞,0.00570627
27960,heart-shaped,形容詞,0.00570537
27961,cross-country,形容詞,0.00570464
27962,rabbinic,形容詞,0.00570452
27963,rephrase,動詞,0.00570442
27964,rectoplasty,名詞,0.00570332
27965,proctoplasty,名詞,0.00570332
27966,sect,名詞,0.00570235
27967,pinnate,形容詞,0.00570209
27968,arariba,名詞,0.00570203
27969,unerringly,副詞,0.00569994
27970,ranked,形容詞,0.0056994
27971,izanami,名詞,0.00569895
27972,logistics,名詞,0.00569772
27973,gigantic,形容詞,0.00569659
27974,delineative,形容詞,0.00569604
27975,depictive,形容詞,0.00569603
27976,pollinator,名詞,0.0056936
27977,wayfaring,形容詞,0.00569307
27978,blighia,名詞,0.00569214
27979,attemptable,形容詞,0.00569136
27980,priggishly,副詞,0.00569131
27981,congee,動詞,0.005691
27982,megaloptera,名詞,0.00569077
27983,lin,名詞,0.00568933
27984,zakat,名詞,0.00568878
27985,traverse,名詞,0.00568555
27986,superhighway,名詞,0.00568285
27987,masseur,名詞,0.00568245
27988,retaliatory,形容詞,0.00568229
27989,talcum,名詞,0.00568018
27990,balenciaga,名詞,0.00567778
27991,paymaster,名詞,0.00567735
27992,harvester,名詞,0.00567604
27993,map,名詞,0.00567484
27994,twang,名詞,0.00567391
27995,ovum,名詞,0.00567323
27996,curbed,形容詞,0.00567122
27997,duality,名詞,0.00566577
27998,actuating,形容詞,0.00566539
27999,muskogee,名詞,0.00566416
28000,exacting,形容詞,0.00566292
28001,nonce,名詞,0.00565772
28002,dizygous,形容詞,0.00565574
28003,bod,名詞,0.00565108
28004,capsicum,名詞,0.00565028
28005,stockfish,名詞,0.00565019
28006,kor,名詞,0.00564811
28007,smoking,形容詞,0.00564605
28008,braid,名詞,0.00564434
28009,drawer,名詞,0.00564308
28010,blitt,名詞,0.00564279
28011,fermentologist,名詞,0.00564082
28012,enologist,名詞,0.00564082
28013,oenologist,名詞,0.00564081
28014,literalness,名詞,0.00563989
28015,comb,動詞,0.00563888
28016,bent,名詞,0.00563841
28017,jellify,動詞,0.00563797
28018,denturist,名詞,0.00563535
28019,administration,名詞,0.00563413
28020,residuary,形容詞,0.00563373
28021,bethel,名詞,0.00563211
28022,retentively,副詞,0.00563195
28023,histaminase,名詞,0.00563137
28024,paisa,名詞,0.00563043
28025,listed,形容詞,0.00562973
28026,modernist,形容詞,0.00562457
28027,diarrhoetic,形容詞,0.00562413
28028,diarrhoeic,形容詞,0.00562413
28029,diarrhoeal,形容詞,0.00562413
28030,diarrhetic,形容詞,0.00562413
28031,diarrheic,形容詞,0.00562413
28032,diarrheal,形容詞,0.00562413
28033,postulator,名詞,0.00562383
28034,outstare,動詞,0.0056226
28035,outface,動詞,0.0056226
28036,mebendazole,名詞,0.00561872
28037,alikeness,名詞,0.00561867
28038,immanent,形容詞,0.00561824
28039,policyholder,名詞,0.00561802
28040,nominally,副詞,0.00561791
28041,storeroom,名詞,0.00561779
28042,varro,名詞,0.00561738
28043,larch,名詞,0.00561614
28044,quintette,名詞,0.00561607
28045,shufti,名詞,0.00561566
28046,uptick,名詞,0.00561544
28047,youthful,形容詞,0.00561449
28048,armoured,形容詞,0.00561436
28049,twenties,名詞,0.00561389
28050,thermostated,形容詞,0.00561077
28051,airway,名詞,0.00560727
28052,antonymy,名詞,0.00560717
28053,clio,名詞,0.00560409
28054,tufted,形容詞,0.00560374
28055,tolerably,副詞,0.00560349
28056,serosa,名詞,0.00560275
28057,vincetoxicum,名詞,0.00560167
28058,staghound,名詞,0.00560109
28059,retractile,形容詞,0.00559706
28060,demille,名詞,0.0055948
28061,main-topmast,名詞,0.00559323
28062,overmuch,副詞,0.00559282
28063,colloquy,名詞,0.00559244
28064,manoeuvrer,名詞,0.00559158
28065,thm,名詞,0.00559117
28066,yearbook,名詞,0.00559106
28067,malinowski,名詞,0.00559087
28068,launch,動詞,0.00558981
28069,cousin-german,名詞,0.00558777
28070,wysiwyg,形容詞,0.00558676
28071,titillating,形容詞,0.00558664
28072,tight-fitting,形容詞,0.00558536
28073,fumariaceae,名詞,0.005583
28074,hitlerian,形容詞,0.00558238
28075,yearlong,形容詞,0.0055792
28076,skunkbush,名詞,0.00557793
28077,squawbush,名詞,0.00557792
28078,squaw-bush,名詞,0.00557792
28079,niqaabi,名詞,0.00557774
28080,leavening,名詞,0.00557724
28081,flybridge,名詞,0.00557535
28082,downtick,名詞,0.00557525
28083,cathay,名詞,0.00557492
28084,pony,名詞,0.00557351
28085,heightening,形容詞,0.00557312
28086,roe,名詞,0.00557201
28087,guesstimate,名詞,0.00557074
28088,guestimate,名詞,0.00557073
28089,decontrol,動詞,0.00557012
28090,porkholt,名詞,0.00556991
28091,greengrocery,名詞,0.00556793
28092,astral,形容詞,0.00556487
28093,honeysuckle,名詞,0.00556483
28094,antibacterial,名詞,0.00556474
28095,pearl,動詞,0.00556454
28096,shorts,名詞,0.00556402
28097,leatherleaf,名詞,0.00556336
28098,topognosis,名詞,0.0055624
28099,andantino,形容詞,0.00556166
28100,analogue,形容詞,0.00556134
28101,charterhouse,名詞,0.00555969
28102,unipolar,形容詞,0.00555936
28103,physic,名詞,0.00555895
28104,electrification,名詞,0.0055586
28105,knish,名詞,0.00555723
28106,linguist,名詞,0.00555645
28107,cretan,名詞,0.00555548
28108,parsnip,名詞,0.00555469
28109,roadstead,名詞,0.00555363
28110,malaclemys,名詞,0.00555301
28111,regularization,名詞,0.00555261
28112,regularisation,名詞,0.00555261
28113,right-handed,形容詞,0.00555052
28114,pilosella,名詞,0.00555044
28115,official,名詞,0.00554853
28116,jesuitry,名詞,0.00554784
28117,jesuitism,名詞,0.00554784
28118,populated,形容詞,0.00554779
28119,resident,形容詞,0.00554693
28120,roving,形容詞,0.00554676
28121,unhorse,動詞,0.00554549
28122,heterocycle,名詞,0.00554445
28123,espana,名詞,0.00554281
28124,spain,名詞,0.00554279
28125,subset,名詞,0.00554187
28126,spirometery,名詞,0.00553918
28127,gnostic,名詞,0.00553822
28128,armless,形容詞,0.00553811
28129,uncontaminating,形容詞,0.00553736
28130,oxygenated,形容詞,0.00553575
28131,demonstrably,副詞,0.00553567
28132,spathe,名詞,0.00553525
28133,vaseline,名詞,0.00553443
28134,equivalent,名詞,0.0055328
28135,stomatopoda,名詞,0.00553203
28136,homogenized,形容詞,0.00553122
28137,homogenised,形容詞,0.00553122
28138,able-bodiedism,名詞,0.00553041
28139,able-bodism,名詞,0.0055304
28140,ablism,名詞,0.00553039
28141,ableism,名詞,0.00553039
28142,cryptological,形容詞,0.00553025
28143,therewithal,副詞,0.00552633
28144,paint,名詞,0.00552596
28145,orchis,名詞,0.0055259
28146,lion's-ear,名詞,0.00552512
28147,parentage,名詞,0.00552462
28148,landman,名詞,0.00552306
28149,latecomer,名詞,0.00552302
28150,sexagesimal,形容詞,0.00552195
28151,typewritten,形容詞,0.00552146
28152,industrialized,形容詞,0.00551955
28153,dublin,名詞,0.00551935
28154,paramaribo,名詞,0.00551934
28155,harpsichord,名詞,0.00551899
28156,magniloquent,形容詞,0.00551689
28157,hitchings,名詞,0.00551637
28158,gradatory,形容詞,0.00551411
28159,gradational,形容詞,0.00551411
28160,tractarianism,名詞,0.00551402
28161,puseyism,名詞,0.00551402
28162,roofer,名詞,0.00551325
28163,chipewyan,名詞,0.00551224
28164,fortifying,形容詞,0.00550953
28165,strengthening,形容詞,0.00550952
28166,unhealthfulness,名詞,0.00550932
28167,reflectively,副詞,0.00550911
28168,musingly,副詞,0.00550911
28169,clive,名詞,0.00550892
28170,lean,動詞,0.00550487
28171,universalistic,形容詞,0.00550441
28172,magha,名詞,0.00550308
28173,magh,名詞,0.00550308
28174,mals,名詞,0.00550232
28175,orelanism,名詞,0.00550139
28176,pentoxifylline,名詞,0.00550033
28177,trental,名詞,0.00550032
28178,enteroceptor,名詞,0.00549787
28179,interoceptor,名詞,0.00549786
28180,aperient,形容詞,0.0054967
28181,impute,動詞,0.00549575
28182,timeserving,形容詞,0.00549271
28183,mustelus,名詞,0.00549093
28184,unpretentiously,副詞,0.0054909
28185,myoglobin,名詞,0.00548702
28186,tuck,動詞,0.0054868
28187,cafeteria,名詞,0.00548641
28188,prehension,名詞,0.00548577
28189,paphiopedilum,名詞,0.00548495
28190,diplomatist,名詞,0.00548239
28191,danaea,名詞,0.00548136
28192,beggar-my-neighbor,名詞,0.00548058
28193,beggar-my-neighbour,名詞,0.00548057
28194,chenopodiales,名詞,0.00547911
28195,caryophyllales,名詞,0.00547911
28196,order-chenopodiales,名詞,0.00547908
28197,syncretism,名詞,0.00547729
28198,slot,名詞,0.00547612
28199,ways,名詞,0.00547361
28200,perennial,形容詞,0.0054721
28201,brandenburg,名詞,0.00546834
28202,eldest,形容詞,0.0054679
28203,handkerchief,名詞,0.00546552
28204,periodical,名詞,0.00546448
28205,pilocarpine,名詞,0.00546411
28206,startlingly,副詞,0.00546306
28207,turkmen,名詞,0.00546298
28208,bilocation,名詞,0.00546232
28209,trimly,副詞,0.00546202
28210,alley,名詞,0.00546188
28211,naiad,名詞,0.00546178
28212,tractarian,名詞,0.00546171
28213,propane,名詞,0.00546142
28214,topee,名詞,0.00546112
28215,sartre,名詞,0.00546103
28216,reducing,名詞,0.00546049
